username,partido
Rita_Maestre,MásMadrid
jorgegcastano,MásMadrid
Esther_Gomez_M,MásMadrid
PacoPerezRamos,MásMadrid
DouasMaysoun,MásMadrid
javierbarberog,MásMadrid
Mpilarcuca,MásMadrid
FelixLopez_Rey,MásMadrid
miguelmontejo74,MásMadrid
Karolina_Pulido,MásMadrid
jlnietob,MásMadrid
MarbarberanP,MásMadrid
AmandaRomero_G,MásMadrid
politicosoy,MásMadrid
AlmeidaPP_,PP
ALevySoler,PP
InmaSanzO,PP
bcarabante,PP
borjafanju,PP
palomagromero,PP
Almudena_Maillo,PP
Cayehdelariva,PP
SoniaCQ,PP
fernandezsj,PP
bpinedotex,PP
loretosord,PP
Jrcramirez,PP
AlvaroGLopez,PP
begonavillacis,Ciudadanos
SilviaSaavedral,Ciudadanos
maredondor,Ciudadanos
AngelNinoQ,Ciudadanos
MCasariegoCor,Ciudadanos
sofia_miranda_,Ciudadanos
MarianoFuentesS,Ciudadanos
AniortePepe,Ciudadanos
ConchaChapa_,Ciudadanos
SerranoAlbertoP,Ciudadanos
RamonSilvaB,PSOE
espinar_mar,PSOE
EnmaLopez,PSOE
ignaciobenitop,PSOE
emiliamgarrido,PSOE
nataliacera,PSOE
Ortega_Smith,VOX
CabelloArantxa,VOX
FMartinezVidal_,VOX
martaghigueras,GrupoMixto
josemanuel_co,GrupoMixto
LuisCueto12,GrupoMixto
