Id,Label,timeset,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class
rita_maestre,,,293,47,340,3,0.54321,0.594697,21.641089,0.727445,2
jorgegcastano,,,133,216,349,2,0.647059,0.727273,17.768105,0.379229,2
jlnietob,,,43,118,161,2,0.676923,0.761364,25.622202,0.229846,2
esther_gomez_m,,,129,130,259,2,0.628571,0.704545,21.282932,0.418827,2
javierbarberog,,,86,51,137,3,0.564103,0.636364,18.496673,0.344406,2
almeidapp_,,,857,10,867,3,0.5,0.537879,15.872458,1,0
alevysoler,,,102,5,107,3,0.431373,0.477273,11.592343,0.684134,0
bcarabante,,,316,91,407,3,0.60274,0.67803,90.736228,0.869741,0
begonavillacis,,,487,76,563,3,0.611111,0.689394,50.621696,0.81742,3
enmalopez,,,109,320,429,2,0.745763,0.829545,97.745474,0.578985,1
marbarberanp,,,45,68,113,3,0.666667,0.757576,32.136655,0.321457,2
espinar_mar,,,162,226,388,2,0.758621,0.840909,80.226343,0.475129,0
ignaciobenitop,,,86,340,426,2,0.88,0.931818,78.301736,0.367023,1
pacoperezramos,,,80,50,130,3,0.564103,0.628788,8.115759,0.281954,2
fernandezsj,,,62,166,228,3,0.656716,0.746212,56.661887,0.547901,0
miguelmontejo74,,,130,337,467,2,0.785714,0.863636,85.902444,0.422725,2
felixlopez_rey,,,93,613,706,2,0.785714,0.863636,44.162809,0.382572,2
palomagromero,,,119,99,218,3,0.60274,0.685606,46.628111,0.656876,0
cayehdelariva,,,32,38,70,3,0.511628,0.568182,3.067866,0.302738,0
bpinedotex,,,30,41,71,3,0.578947,0.651515,9.499412,0.468513,0
ramonsilvab,,,151,126,277,2,0.60274,0.670455,11.823982,0.366447,3
marianofuentess,,,185,52,237,3,0.571429,0.647727,15.770888,0.54429,4
serranoalbertop,,,177,304,481,2,0.745763,0.829545,99.991964,0.627882,3
amandaromero_g,,,24,30,54,3,0.54321,0.594697,1.923227,0.225879,2
karolina_pulido,,,31,75,106,2,0.619718,0.693182,4.600435,0.191926,2
alvaroglopez,,,29,24,53,3,0.505747,0.556818,2.132148,0.401919,0
loretosord,,,74,162,236,2,0.666667,0.75,34.794704,0.573306,0
aniortepepe,,,240,305,545,2,0.647059,0.727273,90.767206,0.7896,4
conchachapa_,,,109,57,166,3,0.536585,0.598485,14.519011,0.621175,1
luiscueto12,,,20,34,54,3,0.511628,0.560606,3.063981,0.237692,2
mpilarcuca,,,0,75,75,3,0.608108,0.685185,0,0,4
josemanuel_co,,,43,106,149,2,0.698413,0.784091,37.14318,0.395419,4
fmartinezvidal_,,,22,22,44,3,0.54321,0.602273,16.341414,0.188967,5
mcasariegocor,,,61,66,127,3,0.571429,0.640152,30.735995,0.440705,3
angelninoq,,,130,19,149,3,0.564103,0.621212,14.240611,0.434329,4
emiliamgarrido,,,50,22,72,3,0.55,0.598485,8.957242,0.23964,1
inmasanzo,,,39,47,86,2,0.647059,0.727273,30.133062,0.383376,0
cabelloarantxa,,,22,84,106,2,0.637681,0.715909,33.236796,0.237745,5
sofia_miranda_,,,50,0,50,0,0,0,0,0.19875,4
douasmaysoun,,,5,0,5,0,0,0,0,0.046596,2
ortega_smith,,,82,9,91,3,0.411215,0.443182,3.789426,0.297244,3
soniacq,,,31,116,147,3,0.564103,0.636364,11.825538,0.28879,0
jrcramirez,,,20,104,124,3,0.478261,0.537879,5.215597,0.269701,0
almudena_maillo,,,9,0,9,0,0,0,0,0.1544,0
nataliacera,,,20,39,59,3,0.611111,0.689394,6.911369,0.143101,1
maredondor,,,0,101,101,3,0.584416,0.651852,0,0,3
silviasaavedral,,,3,0,3,0,0,0,0,0.071176,1
